Ваш SKU *,Название группы вариантов,Название товара *,Бренд *,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования
GFT5032,,Подарочная карта Minecraft Dungeons Standard Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,все страны,,экшн,1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",,,все страны
GFT533,,Подарочная карта Minecraft Dungeons Ultimate DLC Bundle for Windows | Не РФ/СНГ | Оригинальный код,Minecraft,сервис активации,игры,Minecraft,электронный ключ,ПК,"Windows,macOS,Linux",Windows,,99 лет,все страны,,выживание,1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT1834,,Подарочная карта Minecraft Dungeons Ultimate Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,все страны,,,1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",,,все страны
GFT6388,,Подарочная карта Minecraft Dungeons: Standard Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,ПК,Windows,Microsoft Store,,99 лет,все страны,,"приключения,симулятор",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6442,,Подарочная карта Minecraft Dungeons: Standard Edition для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,"Xbox 360,Xbox One,Xbox Series XIS",Windows,Xbox Store,,99 лет,все страны,,"приключения,симулятор",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6390,,Подарочная карта Minecraft Dungeons: Ultimate DLC Bundle для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,ПК,Windows,Microsoft Store,,99 лет,все страны,,приключения,1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6444,,Подарочная карта Minecraft Dungeons: Ultimate DLC Bundle для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,"Xbox 360,Xbox One,Xbox Series XIS",Windows,Xbox Store,,99 лет,все страны,,"приключения,симулятор",1,6+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6389,,Подарочная карта Minecraft Dungeons: Ultimate Edition для Windows | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,ПК,Windows,Microsoft Store,,99 лет,все страны,,"приключения,симулятор",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT6443,,Подарочная карта Minecraft Dungeons: Ultimate Edition для Xbox | НЕ РФ/СНГ | Оригинальный код,Microsoft,сервис активации,игры,Minecraft,электронный ключ,"Xbox 360,Xbox One,Xbox Series XIS",Windows,Xbox Store,,99 лет,все страны,,"приключения,симулятор",1,7+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны
GFT5031,,Подарочная карта Minecraft Java and Bedrock Deluxe Collection для Windows | США | Оригинальный код,Microsoft,пополнение счета,игры,Minecraft,электронный ключ,ПК,Windows,"Microsoft Store,Minecraft",,99 лет,США,,,,7+,,только для американских аккаунтов,,,США
